employee_id,role,country,region,tenure_years
E00001,Sales Rep,Brazil,Americas,4.3
E00002,Medical Manager,France,EMEA,6.0
E00003,Sales Rep,France,EMEA,4.7
E00004,Sales Rep,Germany,EMEA,0.1
E00005,MSL,Mexico,Americas,1.7
E00006,Sales Rep,Japan,APAC,4.1
E00007,Sales Rep,France,EMEA,0.9
E00008,MSL,United States,Americas,6.3
E00009,Sales Rep,Mexico,Americas,9.1
E00010,MSL,Japan,APAC,8.2
E00011,MSL,France,EMEA,3.9
E00012,Regional Manager,Germany,EMEA,9.0
E00013,Regional Manager,India,APAC,4.9
E00014,Regional Manager,France,EMEA,3.5
E00015,Sales Rep,Mexico,Americas,2.7
E00016,Market Access,United Kingdom,EMEA,3.6
E00017,MSL,Mexico,Americas,3.3
E00018,MSL,Brazil,Americas,5.0
E00019,Market Access,Brazil,Americas,5.0
E00020,MSL,Canada,Americas,4.5
E00021,MSL,Canada,Americas,5.8
E00022,Sales Rep,Japan,APAC,8.1
E00023,MSL,Germany,EMEA,7.3
E00024,Sales Rep,United States,Americas,0.1
E00025,Sales Rep,United Kingdom,EMEA,0.1
E00026,Sales Rep,United States,Americas,7.3
E00027,Sales Rep,Italy,EMEA,0.4
E00028,Sales Rep,Germany,EMEA,3.8
E00029,MSL,Canada,Americas,1.0
E00030,MSL,Canada,Americas,0.1
E00031,Sales Rep,Brazil,Americas,6.1
E00032,MSL,Germany,EMEA,6.8
E00033,MSL,Japan,APAC,2.8
E00034,Market Access,Germany,EMEA,0.1
E00035,Sales Rep,India,APAC,2.9
E00036,MSL,Mexico,Americas,5.7
E00037,Regional Manager,United Kingdom,EMEA,0.1
E00038,Sales Rep,Mexico,Americas,5.1
E00039,Sales Rep,India,APAC,4.5
E00040,Sales Rep,Mexico,Americas,6.2
E00041,Sales Rep,Mexico,Americas,4.9
E00042,Regional Manager,Japan,APAC,1.6
E00043,Sales Rep,Germany,EMEA,8.1
E00044,MSL,Japan,APAC,4.0
E00045,Medical Manager,India,APAC,4.4
E00046,Sales Rep,Brazil,Americas,1.7
E00047,MSL,India,APAC,3.2
E00048,Sales Rep,India,APAC,1.8
E00049,MSL,Canada,Americas,4.0
E00050,Sales Rep,France,EMEA,9.6
E00051,Market Access,Japan,APAC,0.4
E00052,Market Access,United Kingdom,EMEA,0.1
E00053,Regional Manager,Germany,EMEA,8.9
E00054,Medical Manager,Canada,Americas,3.9
E00055,Sales Rep,Germany,EMEA,2.5
E00056,Sales Rep,Brazil,Americas,7.6
E00057,MSL,United Kingdom,EMEA,2.7
E00058,Medical Manager,Canada,Americas,10.0
E00059,Sales Rep,France,EMEA,6.5
E00060,Sales Rep,India,APAC,3.0
