interaction_id,interaction_date,country,region,business_unit,interaction_type,stakeholder_id,employee_id,declared_purpose,duration_minutes
I000001,2024-03-16,DEU,EMEA,Primary Care,Group Meeting,S01006,E00472,Product information discussion (on-label),45.0
I000002,2024-07-10,JPN,APAC,Oncology,1:1 Meeting,S01659,E00871,Product information discussion (on-label),49.0
I000003,2024-03-05,United States,Americas,Respiratory,Speaker Program,S01431,E00969,Congress meeting and follow-up,84.0
I000004,2024-04-09,IN,APAC,Specialty,Group Meeting,S00843,E00781,Training and best practice sharing,18.0
I000005,2025-06-27,Brazil,Americas,Primary Care,Advisory Board,S00092,E00474,Speaker program educational session,230.0
I000006,2025-01-03,Italy,EMEA,Vaccines,Advisory Board,S01453,E00940,Scientific exchange on clinical data,166.0
I000007,2024-02-12,IND,APAC,Oncology,Speaker Program,S01681,E00286,Speaker program educational session,
I000008,2024-11-10,IT,EMEA,Vaccines,1:1 Meeting,S00023,E00694,Market access discussion,26.0
I000009,2024-06-16,IN,APAC,Respiratory,1:1 Meeting,S01468,E00676,Business discussion,30.0
I000010,2024-10-09,Japan,APAC,Specialty,1:1 Meeting,S00489,E00205,Advisory board discussion on unmet needs,23.0
I000011,2024-12-01,DEU,EMEA,Vaccines,Group Meeting,S01701,E00681,Speaker program educational session,55.0
I000012,2025-04-27,US,Americas,Specialty,Congress/Conference,S00810,E00962,Scientific exchange on clinical data,131.0
I000013,2025-04-02,United States of America,Americas,Specialty,1:1 Meeting,S00136,E00674,Follow-up,36.0
I000014,2025-03-03,BRA,Americas,Vaccines,Group Meeting,S01621,E00945,Market access discussion,81.0
I000015,2024-05-30,CAN,Americas,Specialty,1:1 Meeting,S01302,E00780,,40.0
I000016,2024-11-08,ITA,EMEA,Respiratory,1:1 Meeting,S00477,E00516,Scientific exchange on clinical data,24.0
I000017,2025-06-02,ITA,EMEA,Specialty,1:1 Meeting,S00123,E00141,Scientific exchange on clinical data,34.0
I000018,2024-06-27,MX,Americas,Oncology,Group Meeting,S00674,E00138,Product information discussion (on-label),56.0
I000019,2024-07-28,JPN,APAC,Specialty,Group Meeting,S00679,E00351,Advisory board discussion on unmet needs,46.0
I000020,2024-04-22,India,APAC,Respiratory,Group Meeting,S01068,E00330,Advisory board discussion on unmet needs,49.0
I000021,2024-01-12,CAN,Americas,Specialty,Speaker Program,S01214,E00563,Catch-up,58.0
I000022,2024-10-09,US,Americas,Oncology,Speaker Program,S00510,E00311,Training and best practice sharing,55.0
I000023,2024-05-19,IT,EMEA,Specialty,1:1 Meeting,S00866,E00518,,14.0
I000024,2024-03-09,IT,EMEA,Vaccines,Group Meeting,S00615,E00610,Speaker program educational session,83.0
I000025,2024-04-27,MX,Americas,Oncology,Speaker Program,S00280,E00733,Discussed topics,67.0
I000026,2024-02-19,Brazil,Americas,Oncology,Congress/Conference,S01521,E00383,Business discussion,66.0
