spend_id,interaction_id,spend_category,amount_local,currency,amount_usd,payment_date
P000001,I004265,Honoraria,1010.36,INR,12.12,2024-10-09
P000002,I006216,Lodging,350.59,MXN,20.33,2024-03-28
P000003,I004814,Meals,172.39,BRL,34.48,2024-11-30
P000004,I002624,Meals,64.25,BRL,12.85,2024-09-08
P000005,I004228,Meals,48.03,EUR,52.35,2024-04-22
P000006,I006189,Honoraria,1055.25,EUR,1150.22,2025-02-01
P000007,I001475,Honoraria,925.14,BRL,185.03,2025-04-10
P000008,I006296,Meals,71.76,EUR,78.22,2024-06-26
P000009,I001669,Meals,48.8,USD,48.8,2025-02-22
P000010,I002783,Travel,1698.58,INR,20.38,2024-04-10
P000011,I000189,Lodging,525.63,INR,6.31,2024-07-04
P000012,I003573,Honoraria,1549.89,USD,1549.89,2024-12-31
P000013,I004767,Honoraria,718.24,EUR,782.88,2024-06-02
P000014,I005778,Meals,115.89,INR,1.39,2024-04-17
P000015,I005062,Honoraria,853.99,MXN,49.53,2024-06-11
P000016,I006366,Meals,117.27,EUR,127.82,2025-02-07
P000017,I001245,Honoraria,1004.2,GBP,1275.33,2025-04-27
P000018,I003578,Travel,1429.55,INR,17.15,2024-12-04
P000019,I000142,Travel,447.48,GBP,568.3,2024-09-04
P000020,I006592,Travel,708.69,CAD,524.43,2024-08-13
P000021,I000988,Lodging,506.71,BRL,101.34,2024-03-17
P000022,I003372,Meals,67.99,EUR,74.11,2024-05-28
P000023,I002308,Travel,210.12,EUR,229.03,2025-01-09
P000024,I009424,Meals,94.69,JPY,0.63,2024-09-28
P000025,I001423,Honoraria,2086.11,USD,2086.11,2024-04-24
P000026,I000724,Travel,360.91,EUR,393.39,2024-02-29
P000027,I006778,Meals,52.91,USD,52.91,2024-02-03
P000028,I002752,Travel,404.96,EUR,441.41,2025-06-03
P000029,I000328,Meals,173.57,EUR,189.19,2024-05-22
P000030,I005597,Honoraria,1808.74,USD,1808.74,2024-07-27
P000031,I004267,Meals,103.11,USD,103.11,2024-12-16
P000032,I004283,Travel,861.18,USD,861.18,2024-08-02
P000033,I002844,Meals,55.1,INR,0.66,2025-03-09
P000034,I005662,Venue/AV,3328.89,JPY,22.3,2024-05-10
P000035,I006925,Honoraria,1430.9,EUR,1559.68,2025-05-21
P000036,I001544,Meals,66.98,CAD,49.57,2024-05-20
P000037,I004876,Meals,28.72,EUR,31.3,2025-01-08
P000038,I006929,Travel,1814.58,INR,21.77,2024-03-19
P000039,I006482,Travel,338.83,JPY,2.27,2024-12-24
P000040,I005378,Travel,480.63,EUR,523.89,2025-06-04
P000041,I004586,Honoraria,4930.12,EUR,5373.83,2024-10-24
P000042,I003764,Meals,99.56,EUR,108.52,2024-09-08
P000043,I000150,Travel,760.26,MXN,44.1,2025-03-18
P000044,I006203,Travel,747.68,GBP,949.55,2025-01-14
P000045,I002224,Travel,675.93,USD,675.93,2025-05-31
P000046,I006452,Honoraria,1568.04,INR,18.82,2025-01-14
P000047,I000543,Meals,30.15,CAD,22.31,2024-03-30
P000048,I004260,Venue/AV,2949.68,EUR,3215.15,2024-08-12
P000049,I001786,Lodging,173.29,INR,2.08,2024-01-09
P000050,I000236,Meals,51.81,eur,56.47,2024-08-12
P000051,I000696,Venue/AV,1399.77,MXN,81.19,2024-07-16
P000052,I001968,Venue/AV,2464.16,cad,1823.48,2024-07-03
P000053,I002261,Meals,76.86,MXN,4.46,2024-04-28
P000054,I005232,Travel,362.29,BRL,72.46,2024-09-29
P000055,I000953,Meals,80.88,EUR,88.16,2024-05-08
P000056,I005790,Travel,828.26,BRL,165.65,2024-06-24
P000057,I002422,Meals,49.62,CAD,36.72,2024-09-22
P000058,I002536,Honoraria,1314.62,INR,15.78,2024-07-09
P000059,I002101,Meals,80.03,EUR,87.23,2024-06-07
P000060,I006921,Meals,98.1,CAD,72.59,2024-09-28
P000061,I006507,Meals,88.63,USD,88.63,2024-11-11
P000062,I006789,Meals,47.01,CAD,34.79,2025-05-10
P000063,I000141,Meals,182.16,USD,182.16,2024-07-24
P000064,I000761,Honoraria,2483.81,GBP,3154.44,2025-07-29
P000065,I001808,Meals,67.73,EUR,73.83,2024-01-06
P000066,I005161,Venue/AV,4692.71,EUR,5115.05,2025-01-03
P000067,I007471,Meals,84.23,BRL,16.85,2024-03-15
P000068,I002017,Travel,231.61,GBP,294.14,2024-07-15
P000069,I004341,Lodging,455.09,EUR,496.05,2024-06-04
P000070,I004442,Travel,148.94,CAD,110.22,2025-01-08
P000071,I005759,Venue/AV,4168.48,INR,50.02,2024-01-28
P000072,I006942,Meals,56.3,GBP,71.5,2024-08-10
P000073,I006694,Travel,437.09,BRL,87.42,2024-06-08
P000074,I002657,Meals,53.17,INR,0.64,2024-03-25
P000075,I002870,Travel,361.25,BRL,72.25,2024-01-25
P000076,I005215,Travel,333.14,EUR,363.12,2025-06-15
P000077,I003584,Travel,207.04,BRL,41.41,2025-04-16
P000078,I001921,Travel,799.09,JPY,5.35,2024-06-20
P000079,I006273,Honoraria,958.53,CAD,709.31,2024-12-29
P000080,I000747,Travel,264.8,BRL,52.96,2024-06-19
P000081,I002303,Honoraria,1228.84,INR,14.75,2024-06-09
P000082,I005394,Honoraria,984.0,EUR,1072.56,2024-08-22
P000083,I000754,Meals,65.89,MXN,3.82,2024-07-22
