stakeholder_id,stakeholder_type,country,specialty,risk_tier,onboarding_date
S00001,HCP,Germany,Pulmonology,Low,2021-08-24
S00002,HCP,France,Pediatrics,Medium,2021-02-21
S00003,HCP,United Kingdom,Rheumatology,Low,2023-09-02
S00004,HCP,Germany,Gastroenterology,Medium,2022-09-22
S00005,HCP,United Kingdom,Pediatrics,Medium,2023-02-05
S00006,HCP,India,Primary Care,Low,2023-10-06
S00007,HCP,United States,Endocrinology,Medium,2021-08-13
S00008,HCP,Mexico,Dermatology,,2023-08-24
S00009,HCP,Mexico,Rheumatology,Low,2021-11-23
S00010,HCP,Mexico,Nephrology,Low,2023-01-23
S00011,HCP,Japan,Ophthalmology,Low,2021-10-18
S00012,HCP,United Kingdom,Pediatrics,Medium,2022-12-12
S00013,HCP,Mexico,Psychiatry,Low,2021-05-21
S00014,HCP,Italy,Oncology,High,2023-03-31
S00015,HCP,Italy,Infectious Disease,Medium,2022-09-29
S00016,HCP,Mexico,Neurology,Low,2023-12-11
S00017,HCP,Brazil,Pediatrics,Medium,2023-04-24
S00018,HCP,Canada,Gastroenterology,Medium,2021-12-15
S00019,HCP,France,Pulmonology,,2021-08-28
S00020,HCP,Japan,Neurology,Medium,2022-09-14
S00021,HCP,United States,Cardiology,Medium,2021-01-14
S00022,HCP,India,Dermatology,High,2022-08-09
S00023,HCO,Canada,Organization,Low,2022-02-01
S00024,HCP,Japan,Ophthalmology,Medium,2021-05-01
S00025,HCP,France,Dermatology,Medium,2023-06-26
S00026,HCP,United Kingdom,Primary Care,Low,2021-05-19
S00027,HCP,Canada,Dermatology,,2022-02-14
S00028,HCP,France,Oncology,Medium,2021-05-19
S00029,HCP,Germany,Endocrinology,Medium,2022-06-18
S00030,HCP,India,Rheumatology,Low,2021-09-22
S00031,HCP,Japan,Gastroenterology,High,2022-03-26
S00032,HCP,United States,Oncology,Medium,2023-12-12
S00033,HCP,United Kingdom,Nephrology,Medium,2021-09-13
S00034,HCP,Germany,Endocrinology,Low,2023-07-19
S00035,HCO,Brazil,Organization,Medium,2022-12-10
S00036,HCO,United Kingdom,Organization,High,2022-05-11
S00037,HCP,Brazil,Gastroenterology,Medium,2023-02-20
S00038,HCP,France,Endocrinology,Low,2023-12-19
S00039,HCO,United Kingdom,Organization,Medium,2023-05-05
S00040,HCP,Japan,Ophthalmology,Low,2021-11-16
S00041,HCP,France,Dermatology,High,2022-06-16
S00042,HCP,Germany,Infectious Disease,Medium,2021-07-18
S00043,HCP,United Kingdom,Endocrinology,Medium,2023-10-02
S00044,HCP,United Kingdom,Gastroenterology,High,2021-05-21
S00045,HCO,India,Organization,High,2022-08-11
S00046,HCP,Italy,Rheumatology,,2021-11-17
S00047,HCP,Mexico,Gastroenterology,Low,2023-11-28
S00048,HCP,Italy,Neurology,Low,2023-06-10
S00049,HCP,United Kingdom,Dermatology,Low,2021-03-12
S00050,HCP,United States,Ophthalmology,Low,2021-03-16
S00051,HCP,Mexico,Dermatology,Low,2022-06-15
S00052,HCP,Japan,Endocrinology,Medium,2022-01-29
S00053,HCP,Canada,Dermatology,Medium,2022-11-26
S00054,HCP,Brazil,Oncology,Medium,2022-01-02
S00055,HCP,Mexico,Infectious Disease,High,2023-07-24
S00056,HCP,United States,Pediatrics,Low,2023-06-14
S00057,HCP,India,Nephrology,High,2021-04-11
S00058,HCP,Italy,Gastroenterology,Low,2023-04-07
S00059,HCP,India,Infectious Disease,Low,2021-10-08
S00060,HCP,Germany,Hematology,High,2022-10-03
S00061,HCP,Germany,Gastroenterology,Medium,2021-03-21
S00062,HCO,Germany,Organization,Medium,2023-03-12
S00063,HCP,France,Infectious Disease,Low,2022-01-12
S00064,HCO,India,Organization,Low,2023-01-29
S00065,HCO,United States,Organization,Low,2021-08-06
S00066,HCP,Canada,Psychiatry,,2021-01-20
S00067,HCP,United Kingdom,Infectious Disease,Low,2021-11-01
S00068,HCP,Brazil,Cardiology,Medium,2023-05-30
S00069,HCP,United Kingdom,Neurology,Low,2021-11-29
S00070,HCP,Canada,Ophthalmology,High,2023-06-28
S00071,HCP,France,Gastroenterology,Low,2022-12-18
S00072,HCP,France,Oncology,Medium,2022-08-27
S00073,HCP,Italy,Ophthalmology,Medium,2021-02-01
S00074,HCP,Canada,Primary Care,Low,2023-12-18
S00075,HCP,Canada,Neurology,High,2023-10-29
S00076,HCP,Italy,Neurology,Low,2022-07-30
S00077,HCP,India,Pediatrics,Low,2022-03-25
S00078,HCO,Mexico,Organization,High,2021-01-10
S00079,HCP,United States,Primary Care,,2022-05-19
S00080,HCP,Germany,Gastroenterology,Low,2022-12-06
S00081,HCO,Mexico,Organization,High,2022-11-09
S00082,HCP,Mexico,Infectious Disease,Medium,2023-03-19
S00083,HCP,Brazil,Nephrology,Medium,2022-12-19
S00084,HCP,United States,Gastroenterology,Low,2023-05-16
S00085,HCO,Germany,Organization,Low,2021-03-20
S00086,HCO,Germany,Organization,Medium,2023-11-22
S00087,HCP,France,Primary Care,Low,2021-02-14
S00088,HCP,Mexico,Pediatrics,High,2023-08-20
S00089,HCP,United Kingdom,Ophthalmology,High,2023-06-15
S00090,HCP,United States,Rheumatology,Medium,2021-11-13
S00091,HCP,United States,Nephrology,Low,2021-06-16
S00092,HCP,Brazil,Infectious Disease,Medium,2021-02-09
S00093,HCP,India,Oncology,Low,2021-01-25
S00094,HCP,France,Hematology,Low,2022-08-17
S00095,HCP,United Kingdom,Endocrinology,Low,2022-11-21
S00096,HCO,Mexico,Organization,Medium,2021-10-19
S00097,HCO,United States,Organization,Low,2023-09-25
S00098,HCP,Italy,Neurology,Medium,2022-02-17
S00099,HCO,India,Organization,Medium,2022-01-06
S00100,HCO,Italy,Organization,,2021-05-16
S00101,HCO,France,Organization,Low,2022-04-29
S00102,HCP,Mexico,Rheumatology,Medium,2022-03-30
S00103,HCP,Italy,Nephrology,Medium,2021-03-09
S00104,HCO,India,Organization,High,2022-08-17
S00105,HCP,Italy,Ophthalmology,Low,2021-11-26
S00106,HCP,Brazil,Hematology,Low,2022-11-30
S00107,HCP,United States,Rheumatology,Low,2021-08-14
S00108,HCO,Germany,Organization,Low,2021-10-29
S00109,HCP,United Kingdom,Hematology,Low,2022-12-05
S00110,HCP,United States,Pulmonology,Low,2023-06-09
S00111,HCP,Brazil,Primary Care,Low,2021-02-27
S00112,HCP,Mexico,Gastroenterology,Low,2021-07-24
S00113,HCP,Canada,Cardiology,Medium,2021-08-21
S00114,HCP,United States,Nephrology,Low,2021-12-20
S00115,HCP,Italy,Oncology,High,2022-06-17
S00116,HCP,Mexico,Pediatrics,Medium,2021-03-17
S00117,HCP,Brazil,Pediatrics,Low,2023-09-28
S00118,HCP,India,Gastroenterology,Low,2022-09-04
S00119,HCP,India,Rheumatology,Medium,2023-05-16
S00120,HCP,France,Pulmonology,Low,2021-12-14
S00121,HCP,United States,Dermatology,Low,2022-07-10
S00122,HCP,Canada,Neurology,Low,2021-02-06
S00123,HCP,Japan,Gastroenterology,Low,2022-07-26
S00124,HCP,France,Pulmonology,Low,2022-06-03
S00125,HCP,Canada,Hematology,,2022-02-19
S00126,HCP,Italy,Dermatology,Medium,2022-06-24
S00127,HCP,France,Dermatology,,2021-03-25
S00128,HCP,Japan,Oncology,Low,2022-03-27
S00129,HCP,Canada,Psychiatry,Low,2021-10-28
S00130,HCP,India,Pediatrics,Medium,2021-02-14
S00131,HCP,Germany,Dermatology,Low,2023-06-26
S00132,HCP,United Kingdom,Gastroenterology,Low,2022-04-09
S00133,HCP,Germany,Nephrology,Low,2022-04-14
S00134,HCO,United Kingdom,Organization,Medium,2021-05-04
S00135,HCP,Japan,Psychiatry,High,2022-01-22
S00136,HCP,India,Gastroenterology,Low,2022-03-24
S00137,HCP,France,Infectious Disease,Low,2023-02-18
S00138,HCP,Italy,Pulmonology,Medium,2022-02-17
S00139,HCP,United Kingdom,Dermatology,Low,2022-03-09
S00140,HCP,Germany,Dermatology,Low,2022-10-17
S00141,HCO,Mexico,Organization,Low,2022-06-17
S00142,HCP,United Kingdom,Psychiatry,Low,2021-05-25
S00143,HCP,Italy,Rheumatology,Low,2022-02-02
S00144,HCP,Japan,Dermatology,Medium,2023-09-11
S00145,HCO,India,Organization,Medium,2023-12-31
S00146,HCO,United States,Organization,Medium,2022-03-31
S00147,HCP,India,Neurology,Low,2023-05-27
S00148,HCO,India,Organization,,2021-08-30
S00149,HCP,India,Psychiatry,Low,2022-12-13
S00150,HCO,Canada,Organization,Low,2021-01-20
S00151,HCP,Brazil,Cardiology,Low,2022-01-02
S00152,HCP,India,Hematology,Low,2023-04-30
S00153,HCO,France,Organization,Low,2021-09-18
S00154,HCP,India,Pediatrics,Low,2023-06-13
S00155,HCP,India,Infectious Disease,Low,2023-09-01
S00156,HCP,Brazil,Dermatology,Low,2022-11-27
S00157,HCP,Mexico,Rheumatology,Low,2021-11-26
S00158,HCP,India,Oncology,Low,2023-03-14
S00159,HCP,United Kingdom,Neurology,Low,2023-03-28
S00160,HCP,Germany,Pediatrics,Low,2021-08-01
S00161,HCO,United States,Organization,Low,2023-06-18
S00162,HCP,United States,Dermatology,Low,2021-04-25
S00163,HCP,Germany,Dermatology,Low,2021-12-11
S00164,HCP,Brazil,Endocrinology,Medium,2023-08-11
S00165,HCP,Germany,Endocrinology,,2022-05-03
S00166,HCP,Germany,Ophthalmology,Low,2023-06-29
S00167,HCP,India,Psychiatry,Low,2022-09-25
S00168,HCP,Canada,Pediatrics,Low,2022-03-13
S00169,HCO,Brazil,Organization,Medium,2021-11-29
S00170,HCP,Germany,Primary Care,Medium,2021-05-22
S00171,HCP,Mexico,Pediatrics,Low,2022-11-25
S00172,HCP,United Kingdom,Cardiology,Medium,2023-08-08
S00173,HCP,Japan,Neurology,Medium,2021-08-21
